id,title,manifest,canvas,license
PR-FC-00345-00010,唐會要 六 (FC.345.10),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00345-00010,868,CC BY-NC 4.0 (PD work)
PR-FC-00246-00008,海國圖志 卷一至十五 (FC.246.8),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00246-00008,850,CC BY-NC 4.0 (PD work)
PR-FC-00345-00007,唐會要 三 (FC.345.7),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00345-00007,838,CC BY-NC 4.0 (PD work)
PR-FC-00345-00006,唐會要 二 (FC.345.6),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00345-00006,808,CC BY-NC 4.0 (PD work)
PR-FC-00345-00009,唐會要 五 (FC.345.9),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00345-00009,800,CC BY-NC 4.0 (PD work)
PR-FC-00345-00005,唐會要 一 (FC.345.5),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00345-00005,786,CC BY-NC 4.0 (PD work)
PR-FC-00345-00008,唐會要 四 (FC.345.8),https://cudl.lib.cam.ac.uk/iiif/PR-FC-00345-00008,776,CC BY-NC 4.0 (PD work)
PR-FB-00557-00022,御選唐宋詩醇 卷十三至二十三 (FB.557.22),https://cudl.lib.cam.ac.uk/iiif/PR-FB-00557-00022,758,CC BY-NC 4.0 (PD work)
MS-FC-00353-00047,按黔疏草 上冊 (FC.353.47),https://cudl.lib.cam.ac.uk/iiif/MS-FC-00353-00047,734,CC BY-NC 4.0 (PD work)
MS-FC-00353-00048,按黔疏草 下冊 (FC.353.48),https://cudl.lib.cam.ac.uk/iiif/MS-FC-00353-00048,734,CC BY-NC 4.0 (PD work)
PR-FB-00557-00023,御選唐宋詩醇 卷二十四至三十三 (FB.557.23),https://cudl.lib.cam.ac.uk/iiif/PR-FB-00557-00023,690,CC BY-NC 4.0 (PD work)
PR-FB-00557-00025,御選唐宋詩醇 卷四十至四十七 (FB.557.25),https://cudl.lib.cam.ac.uk/iiif/PR-FB-00557-00025,652,CC BY-NC 4.0 (PD work)
