id,title,manifest,cat,bu,jp_cross,卷数,subject,fmt
c60001095,Chao Shi bing yuan : wu shi juan,https://www.loc.gov/item/c60001095/manifest.json,med,,0,51,"causes and theories of causation|medicine, chinese|diseases",book
2012402735,Chong kan jing shi zheng lei da quan ben cao : san shi yi juan,https://www.loc.gov/item/2012402735/manifest.json,med,,0,32,"early works to 1800|formulae, receipts, prescriptions|medicine, chinese",book
2012402725,Chong xiu Zhenghe jing shi zheng lei bei yong ben cao : san shi juan,https://www.loc.gov/item/2012402725/manifest.json,med,,0,31,"early works to 1800|formulae, receipts, prescriptions|medicine, chinese",book
2012402727,Chong xiu Zhenghe jing shi zheng lei bei yong ben cao : san shi juan,https://www.loc.gov/item/2012402727/manifest.json,med,,0,31,"early works to 1800|formulae, receipts, prescriptions|medicine, chinese",book
2012402734,Chong xiu zheng he jing shi zheng lei bei yong ben cao : san shi juan,https://www.loc.gov/item/2012402734/manifest.json,med,,0,31,"early works to 1800|formulae, receipts, prescriptions|medicine, chinese",book
2012402769,Huangdi nei jing su wen : shi er juan,https://www.loc.gov/item/2012402769/manifest.json,med,子部,0,26,"yi jia lei|zi bu|early works to 1800|medicine, chinese",book
2008557203,Chuang yang jing yan quan shu : shi san juan,https://www.loc.gov/item/2008557203/manifest.json,med,子部,0,13,"ulcers|yi jia lei|zi bu|early works to 1800|skin|qing|china|medicine, chinese",book
2012402651,Yi lei yuan rong : shi er juan,https://www.loc.gov/item/2012402651/manifest.json,med,,0,13,"early works to 1800|formulae, receipts, prescriptions|medicine, chinese",book
2014514601,"Ben cao qiu zhen : jiu juan, Shou tu yi juan, Zhu zhi er juan, Mai li qiu zhen yi juan",https://www.loc.gov/item/2014514601/manifest.json,med,,0,13,early works to 1800|materia medica|china,book
2014514645,Qiu xian xian tie : shi juan,https://www.loc.gov/item/2014514645/manifest.json,med,子部,0,11,yi shu lei|zi bu,book
2012402646,Zheng zhi zhun sheng : ba ce,https://www.loc.gov/item/2012402646/manifest.json,med,,0,9,"early works to 1800|medicine, chinese",book
2014514452,Hanxi shu fa tong kao : ba juan,https://www.loc.gov/item/2014514452/manifest.json,med,子部,0,9,"zi bu|yi shu lei|calligraphy, chinese",book
2012402647,"Bian zhu Yi xue ru men : qi juan, juan shou yi juan",https://www.loc.gov/item/2012402647/manifest.json,med,,0,8,"early works to 1800|medicine, chinese",book
2012402701,Zhi mo bi yan xiang jian : ge yi juan,https://www.loc.gov/item/2012402701/manifest.json,med,子部,0,7,zi bu|yi shu lei,book
2021666389,Xin kan bu zhu shi wen Huangdi nei jing su wen,https://www.loc.gov/item/2021666389/manifest.json,med,,0,7,"medicine, chinese|china|475 b.c. to 1339",book
2012402994,"Wen bing tiao bian : liu juan, shou yi juan",https://www.loc.gov/item/2012402994/manifest.json,med,子部,0,7,"china|communicable diseases|medicine, chinese|yi jia lei|zi bu",book
