id,title,manifest,keyword
,本草會物品目録,https://da.adm.thers.ac.jp/iiif/1/classic_books/N004-20251112-07742/manifest.json,本草
,ドヽネウス本草草木名彙,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20251030-17639/manifest.json,本草
,紹興校定證類備急本草画圖,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-17623/manifest.json,本草
,泰西本草名疏 2巻附録2巻,https://da.adm.thers.ac.jp/iiif/1/classic_books/N004-20251112-07743/manifest.json,本草
,狗骨科　秦皮譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11376/manifest.json,本草
,薔薇科　薔薇譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-07620/manifest.json,本草
,芸香科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-03374/manifest.json,本草
,楡科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-13103/manifest.json,本草
,瑞香科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-12207/manifest.json,本草
,橙橘科　枸橘譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-03443/manifest.json,本草
,茄科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11727/manifest.json,本草
,茅荑科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-14562/manifest.json,本草
,茄科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11728/manifest.json,本草
,豆科　下,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-05918/manifest.json,本草
,茄科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11734/manifest.json,本草
,狗骨科　秦皮譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11340/manifest.json,本草
,茅荑科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-14561/manifest.json,本草
,石榴科　桃金嬢,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-09038/manifest.json,本草
,冬青科　冬青譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-04280/manifest.json,本草
,寄生科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-12522/manifest.json,本草
,狗骨科　秦皮譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11334/manifest.json,本草
,檀香科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-12662/manifest.json,本草
,桑科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-12879/manifest.json,本草
,樟科　桂譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11897/manifest.json,本草
,石榴科　桃金嬢,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-09033/manifest.json,本草
,薔薇科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-08253/manifest.json,本草
,溲疏科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-08718/manifest.json,本草
,胡桃科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-13898/manifest.json,本草
,松柏科　柏譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-14367/manifest.json,本草
,魚譜　雑,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-01022/manifest.json,本草
,蝉譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-01600/manifest.json,本草
,茄科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11710/manifest.json,本草
,茄科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11715/manifest.json,本草
,雑纂,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-16364/manifest.json,本草
,金縷梅科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-08882/manifest.json,本草
,胡桃科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-13892/manifest.json,本草
,無花果科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-13711/manifest.json,本草
,茅荑科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-14559/manifest.json,本草
,雑纂,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-16515/manifest.json,本草
,薔薇科　薔薇譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-07653/manifest.json,本草
,豆科　下,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-05903/manifest.json,本草
,松柏科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-15831/manifest.json,本草
,魚譜　ナ至フ,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-01172/manifest.json,本草
,棕櫚科　中,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-17023/manifest.json,本草
,橙橘科　橘譜一,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-03541/manifest.json,本草
,薔薇科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-07963/manifest.json,本草
,殼斗科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-14816/manifest.json,本草
,冬青科　冬青譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-04375/manifest.json,本草
,松柏科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-15764/manifest.json,本草
,蟲譜図説五,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-02048/manifest.json,本草
,薔薇科　薔薇譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-07644/manifest.json,本草
,胡桃科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-13894/manifest.json,本草
,無患樹科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-04922/manifest.json,本草
,橙橘科　橘譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-04021/manifest.json,本草
,鼠李科　鼠梨集説,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-04744/manifest.json,本草
,松柏科　榧譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-16546/manifest.json,本草
,胡桃科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-13890/manifest.json,本草
,狗骨科　秦皮譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11314/manifest.json,本草
,水族写眞,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-00711/manifest.json,本草
,橙橘科　橘譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-04020/manifest.json,本草
,柿樹科　柿譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-10727/manifest.json,本草
,桜譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-07300/manifest.json,本草
,雑纂,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-16467/manifest.json,本草
,自イ至ホ,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-01450/manifest.json,本草
,薔薇科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-08241/manifest.json,本草
,松柏科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-15073/manifest.json,本草
,殼斗科　椿木科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-14138/manifest.json,本草
,無患樹科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-04947/manifest.json,本草
,狗骨科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11604/manifest.json,本草
