id,title,manifest,db,tw_title
kyudai-R100000092_I000118238_00,客越詩鈔 上,https://catalog.lib.kyushu-u.ac.jp/image/manifest/1/820/4109569.json,kyudai,丹鉛總錄
THERS_da-N002_20230901_09685,忍冬科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-09685/manifest.json,THERS_da,丹鉛總錄
THERS_da-N002_20230901_03040,梧桐科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-03040/manifest.json,THERS_da,丹鉛總錄
THERS_da-N002_20230901_09688,忍冬科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-09688/manifest.json,THERS_da,丹鉛總錄
THERS_da-N002_20230901_03052,梧桐科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-03052/manifest.json,THERS_da,丹鉛總錄
THERS_da-N002_20230901_09399,山茱萸科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-09399/manifest.json,THERS_da,丹鉛總錄
THERS_da-N002_20230901_07312,桜譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-07312/manifest.json,THERS_da,丹鉛總錄
THERS_da-N002_20230901_07289,桜譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-07289/manifest.json,THERS_da,丹鉛總錄
arc_books-ya09_00406,五蔵論,https://www.dh-jac.net/db1/books/ya09_00406/portal/manifest.json,arc_books,五藏論
arc_books-NDL_2608264,京板校正大字醫學正傳8卷,https://www.dl.ndl.go.jp/api/iiif/2608264/manifest.json,arc_books,京板校正大字醫學正傳
kyudai-R100000092_I000030754_00,人元脉影歸指圖説 巻之上,https://catalog.lib.kyushu-u.ac.jp/image/manifest/1/820/1445998.json,kyudai,人元脉影歸指圖說
kyudai-R100000092_I000030755_00,人元脉影歸指圖説 巻之下,https://catalog.lib.kyushu-u.ac.jp/image/manifest/1/820/1445999.json,kyudai,人元脉影歸指圖說
arc_books-RYU9811L,仁斎直指,https://www.dh-jac.net/db1/books/RYU9811L/portal/manifest.json,arc_books,仁齋直指
arc_books-ya09_00183,新刊仁斎直指附遺方論,https://www.dh-jac.net/db1/books/ya09_00183/portal/manifest.json,arc_books,仁齋直指
arc_books-NIJL_100231696,備急千金要方,https://www.dh-jac.net/db1/books/NIJL-100231696/portal/manifest.json,arc_books,備急千金要方
arc_books-NIJL_100146754,備急千金要方,https://www.dh-jac.net/db1/books/NIJL-100146754/portal/manifest.json,arc_books,備急千金要方
arc_books-NIJL_100452272,備急千金要方,https://www.dh-jac.net/db1/books/NIJL-100452272/portal/manifest.json,arc_books,備急千金要方
arc_books-ya09_00175,備急千金要方,https://www.dh-jac.net/db1/books/ya09_00175/portal/manifest.json,arc_books,備急千金要方
arc_books-NIJL_100381977,備急千金要方,https://www.dh-jac.net/db1/books/NIJL-100381977/portal/manifest.json,arc_books,備急千金要方
arc_books-NIJL_100452925,重刊孫眞人備急千金要方,https://www.dh-jac.net/db1/books/NIJL-100452925/portal/manifest.json,arc_books,備急千金要方
arc_books-NDL_2610039,傷寒論存疑 11巻,https://www.dl.ndl.go.jp/api/iiif/2610039/manifest.json,arc_books,傷寒論
arc_books-NDL_2607105,傷寒論金匱要略薬性弁,https://www.dl.ndl.go.jp/api/iiif/2607105/manifest.json,arc_books,傷寒論
kyudai-R100000092_I000120581_00,先醒齋筆記 巻之上,https://catalog.lib.kyushu-u.ac.jp/image/manifest/1/820/4705793.json,kyudai,先醒齋筆記
kyudai-R100000092_I000120583_00,先醒齋筆記 巻之下,https://catalog.lib.kyushu-u.ac.jp/image/manifest/1/820/4705795.json,kyudai,先醒齋筆記
kyudai-R100000092_I000120582_00,先醒齋筆記 巻之中,https://catalog.lib.kyushu-u.ac.jp/image/manifest/1/820/4705794.json,kyudai,先醒齋筆記
THERS_da-N002_20230901_11498,狗骨科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11498/manifest.json,THERS_da,先醒齋筆記
THERS_da-N002_20230901_07316,桜譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-07316/manifest.json,THERS_da,先醒齋筆記
THERS_da-N002_20230901_04399,冬青科　冬青譜,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-04399/manifest.json,THERS_da,先醒齋筆記
THERS_da-N002_20230901_11506,狗骨科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11506/manifest.json,THERS_da,先醒齋筆記
THERS_da-N002_20230901_11516,狗骨科,https://da.adm.thers.ac.jp/iiif/1/classic_books/N002-20230901-11516/manifest.json,THERS_da,先醒齋筆記
arc_books-NIJL_100271523,全体新論,https://www.dh-jac.net/db1/books/NIJL-100271523/portal/manifest.json,arc_books,全體新論
