id,title,manifest
905,大明地理之図,https://app.toyobunko-lab.jp/iiif/3/905/manifest
907,全体図,https://app.toyobunko-lab.jp/iiif/3/907/manifest
909,全体図（グリッド版）,https://app.toyobunko-lab.jp/iiif/3/909/manifest
911,西域（グリッド版）,https://app.toyobunko-lab.jp/iiif/3/911/manifest
913,越南,https://app.toyobunko-lab.jp/iiif/3/913/manifest
915,越南（グリッド版）,https://app.toyobunko-lab.jp/iiif/3/915/manifest
917,禹貢山水澤地所在,https://app.toyobunko-lab.jp/iiif/3/917/manifest
919,歴城図,https://app.toyobunko-lab.jp/iiif/3/919/manifest
921,鄴城図,https://app.toyobunko-lab.jp/iiif/3/921/manifest
923,洛陽城図,https://app.toyobunko-lab.jp/iiif/3/923/manifest
925,長安城図,https://app.toyobunko-lab.jp/iiif/3/925/manifest
927,睢陽城図,https://app.toyobunko-lab.jp/iiif/3/927/manifest
929,平城図,https://app.toyobunko-lab.jp/iiif/3/929/manifest
931,薊城図,https://app.toyobunko-lab.jp/iiif/3/931/manifest
933,魯城図,https://app.toyobunko-lab.jp/iiif/3/933/manifest
935,臨淄城図,https://app.toyobunko-lab.jp/iiif/3/935/manifest
937,襄陽城図,https://app.toyobunko-lab.jp/iiif/3/937/manifest
939,寿春城図,https://app.toyobunko-lab.jp/iiif/3/939/manifest
941,成都橋図,https://app.toyobunko-lab.jp/iiif/3/941/manifest
943,山陰城図,https://app.toyobunko-lab.jp/iiif/3/943/manifest
963,西域,https://app.toyobunko-lab.jp/iiif/3/963/manifest
42958,Trisaṁvara-nirdeśa,https://app.toyobunko-lab.jp/iiif/3/42958/manifest
43124,Anantamukha-pariśodhana-nirdeśa,https://app.toyobunko-lab.jp/iiif/3/43124/manifest
43125,Tathāgatācintya-guhya-nirdeśa,https://app.toyobunko-lab.jp/iiif/3/43125/manifest
43126,Svapna-nirdeśa,https://app.toyobunko-lab.jp/iiif/3/43126/manifest
43127,Akṣobhya-tathāgatasya-vyūha,https://app.toyobunko-lab.jp/iiif/3/43127/manifest
43128,Dharmadhātu-prakṛty-asambheda-nirdeśa,https://app.toyobunko-lab.jp/iiif/3/43128/manifest
43129,Daśadharmaka,https://app.toyobunko-lab.jp/iiif/3/43129/manifest
43130,Samantamukha-parivarta,https://app.toyobunko-lab.jp/iiif/3/43130/manifest
43131,(Raśmisamantamukta-nirdeśa),https://app.toyobunko-lab.jp/iiif/3/43131/manifest
43132,Bodhisattva-piṭaka,https://app.toyobunko-lab.jp/iiif/3/43132/manifest
43133,Nanda-garbhāvakrānti-nirdeśa,https://app.toyobunko-lab.jp/iiif/3/43133/manifest
43134,Varma-vyūha-nirdeśa,https://app.toyobunko-lab.jp/iiif/3/43134/manifest
43135,Āyuṣman-nanda-garbhāvakrānti-nirdeśa,https://app.toyobunko-lab.jp/iiif/3/43135/manifest
43136,Mañjuśrī-buddhakṣetra-guṇa-vyūha,https://app.toyobunko-lab.jp/iiif/3/43136/manifest
43137,Pitāputrasamāgama,https://app.toyobunko-lab.jp/iiif/3/43137/manifest
43138,Pūrṇa-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43138/manifest
43139,Rāṣṭrapāla-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43139/manifest
43140,Gṛhapaty-Ugra-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43140/manifest
43141,Vidyutprāpta-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43141/manifest
43142,Bhadramāyākāra-vyākaraṇa,https://app.toyobunko-lab.jp/iiif/3/43142/manifest
43143,Mahā-prātihārya-nirdeśa,https://app.toyobunko-lab.jp/iiif/3/43143/manifest
43144,Maitreya-mahāsiṁhanāda,https://app.toyobunko-lab.jp/iiif/3/43144/manifest
43145,Upāli-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43145/manifest
43146,Adhyāśaya-saṁcodana,https://app.toyobunko-lab.jp/iiif/3/43146/manifest
43147,Subāhu-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43147/manifest
43148,Surata-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43148/manifest
43149,Vīradatta-gṛhapati-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43149/manifest
43150,Udayanavatsarāja-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43150/manifest
43151,Sumatidārikā-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43151/manifest
43152,Gaṅgottarā-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43152/manifest
43153,Aśokadatta-vyākaraṇa,https://app.toyobunko-lab.jp/iiif/3/43153/manifest
43154,Vimaladattā-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43154/manifest
43155,Guṇaratnasaṁkusumita-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43155/manifest
43156,Acintyabuddhaviṣaya-nirdeśa,https://app.toyobunko-lab.jp/iiif/3/43156/manifest
43157,Susthitamati-devaputra-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43157/manifest
43158,Siṁha-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43158/manifest
43159,Upāyakauśalya-jñānottara-bodhisattva-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43159/manifest
43160,Bhadrapāla-śreṣṭhi-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43160/manifest
43161,Dārikā-vimalaśuddha-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43161/manifest
43162,Maitreya-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43162/manifest
43163,Maitreya-paripṛcchā-dharmāṣṭaka,https://app.toyobunko-lab.jp/iiif/3/43163/manifest
43164,Kāśyapa-parivarta,https://app.toyobunko-lab.jp/iiif/3/43164/manifest
43165,Ratnarāśi,https://app.toyobunko-lab.jp/iiif/3/43165/manifest
43166,Akṣayamati-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43166/manifest
43167,Saptaśatikā-nāma-prajñāpāramitā,https://app.toyobunko-lab.jp/iiif/3/43167/manifest
43168,Ratnacūḍa-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43168/manifest
43169,Śrīmālā-devī-siṁhanāda,https://app.toyobunko-lab.jp/iiif/3/43169/manifest
43170,Ṛṣivyāsa-paripṛcchā,https://app.toyobunko-lab.jp/iiif/3/43170/manifest
47506,上海ニ於ケル匯画制度,https://app.toyobunko-lab.jp/iiif/3/47506/manifest
47507,上海華商銀行の構成と戦後の動向,https://app.toyobunko-lab.jp/iiif/3/47507/manifest
47508,維新学院一覧,https://app.toyobunko-lab.jp/iiif/3/47508/manifest
47509,支那蚕糸業と華中蚕糸股份有限公司,https://app.toyobunko-lab.jp/iiif/3/47509/manifest
47510,満洲支那の結社と匪徒,https://app.toyobunko-lab.jp/iiif/3/47510/manifest
47511,北支那開発株式会社及関係会社概要［昭和15年度］,https://app.toyobunko-lab.jp/iiif/3/47511/manifest
47512,北支那開発株式会社及関係会社概要［昭和18年度］,https://app.toyobunko-lab.jp/iiif/3/47512/manifest
47513,北支那開発株式会社及関係会社概要［昭和19年度］,https://app.toyobunko-lab.jp/iiif/3/47513/manifest
47514,一九三八年一月一日現在北支鉄道外国借款調書 ： 長期借款及鉄道前渡金,https://app.toyobunko-lab.jp/iiif/3/47514/manifest
47515,北支棉作経営調査,https://app.toyobunko-lab.jp/iiif/3/47515/manifest
47516,開拓団編成関係法規及通牒集,https://app.toyobunko-lab.jp/iiif/3/47516/manifest
47517,満洲産業事情 ： 昭和16年版,https://app.toyobunko-lab.jp/iiif/3/47517/manifest
47518,開拓農業実験場営農成績概要,https://app.toyobunko-lab.jp/iiif/3/47518/manifest
47519,支那司法制度概況,https://app.toyobunko-lab.jp/iiif/3/47519/manifest
47520,満蒙ニ於ケル本邦農業移住民ノ状況及農業移住民発展ニ対スル消極論ノ概要,https://app.toyobunko-lab.jp/iiif/3/47520/manifest
47521,中華民国教科書ニ現ハレタル排外記事,https://app.toyobunko-lab.jp/iiif/3/47521/manifest
47522,在満教務部学事関係法規類集,https://app.toyobunko-lab.jp/iiif/3/47522/manifest
47523,北支近情,https://app.toyobunko-lab.jp/iiif/3/47523/manifest
47524,満洲開拓第二期五ヶ年計画実行方策案,https://app.toyobunko-lab.jp/iiif/3/47524/manifest
47525,朝鮮人農業移民入植概況． 康徳4年度,https://app.toyobunko-lab.jp/iiif/3/47525/manifest
47526,興亜文庫目録,https://app.toyobunko-lab.jp/iiif/3/47526/manifest
47527,満蒙実業調査資料,https://app.toyobunko-lab.jp/iiif/3/47527/manifest
47528,満鉄ノ使命ニ鑑ミテ吾人ノ衷情ヲ披瀝ス,https://app.toyobunko-lab.jp/iiif/3/47528/manifest
47529,支那に於ける今次の排日運動,https://app.toyobunko-lab.jp/iiif/3/47529/manifest
47530,支那の治外法権撤廃問題,https://app.toyobunko-lab.jp/iiif/3/47530/manifest
47531,青島に於ける邦人所有の土地,https://app.toyobunko-lab.jp/iiif/3/47531/manifest
47532,山東に於ける在留邦人の消長,https://app.toyobunko-lab.jp/iiif/3/47532/manifest
47533,山東に於ける邦人の企業,https://app.toyobunko-lab.jp/iiif/3/47533/manifest
47534,山東に於ける不当課税問題,https://app.toyobunko-lab.jp/iiif/3/47534/manifest
47535,山東出兵に就て,https://app.toyobunko-lab.jp/iiif/3/47535/manifest
47536,青島ノ商況,https://app.toyobunko-lab.jp/iiif/3/47536/manifest
47537,先帝の宏謨を蹂躙したる現内閣の外交を糺弾す,https://app.toyobunko-lab.jp/iiif/3/47537/manifest
47538,中華民国及満洲国貿易統計表,https://app.toyobunko-lab.jp/iiif/3/47538/manifest
47539,支那関税改正ニ関スル各地商工会議所希望意見,https://app.toyobunko-lab.jp/iiif/3/47539/manifest
47540,三江省開拓地視察の手引,https://app.toyobunko-lab.jp/iiif/3/47540/manifest
47541,昭和二年六月海外移民統計資料,https://app.toyobunko-lab.jp/iiif/3/47541/manifest
47542,中華民国刑法 ： 昭和三年三月十日国民政府公布，同年九月一日実施,https://app.toyobunko-lab.jp/iiif/3/47542/manifest
47543,満蒙年鑑［大正12年］,https://app.toyobunko-lab.jp/iiif/3/47543/manifest
47544,満蒙年鑑［大正14年］,https://app.toyobunko-lab.jp/iiif/3/47544/manifest
47545,満蒙年鑑［大正16年］,https://app.toyobunko-lab.jp/iiif/3/47545/manifest
47546,満蒙年鑑［昭和4年］,https://app.toyobunko-lab.jp/iiif/3/47546/manifest
47547,満蒙年鑑［昭和5年］,https://app.toyobunko-lab.jp/iiif/3/47547/manifest
47548,満蒙年鑑［昭和6年］,https://app.toyobunko-lab.jp/iiif/3/47548/manifest
47549,満蒙年鑑［昭和7年］,https://app.toyobunko-lab.jp/iiif/3/47549/manifest
47550,満洲年鑑［昭和8年］,https://app.toyobunko-lab.jp/iiif/3/47550/manifest
47551,中支那の経済と其の建設,https://app.toyobunko-lab.jp/iiif/3/47551/manifest
47552,旧紙幣見本帖,https://app.toyobunko-lab.jp/iiif/3/47552/manifest
47553,武漢方面諸省の匪禍 ： 共匪，土匪，会匪の状況，天災人禍の概況,https://app.toyobunko-lab.jp/iiif/3/47553/manifest
47554,亜細亜復興史論,https://app.toyobunko-lab.jp/iiif/3/47554/manifest
47555,桑港震災ト銀行,https://app.toyobunko-lab.jp/iiif/3/47555/manifest
47556,公主嶺ニ於ケル大豆取引並ニ金融ノ状況,https://app.toyobunko-lab.jp/iiif/3/47556/manifest
47557,日満支産業建設五ヶ年計画化学肥料生産計画説明書,https://app.toyobunko-lab.jp/iiif/3/47557/manifest
47558,北支那粟，高梁，玉蜀黍改良増産計画,https://app.toyobunko-lab.jp/iiif/3/47558/manifest
47559,農地開発株式会社設立要綱,https://app.toyobunko-lab.jp/iiif/3/47559/manifest
47560,山東省東半地区皮革ニ関スル報告書,https://app.toyobunko-lab.jp/iiif/3/47560/manifest
47561,康徳八年農村戸別概況調査報告書 ： 土地所有関係，経営地及宅地関係篇,https://app.toyobunko-lab.jp/iiif/3/47561/manifest
47562,支那通商報告［1号］,https://app.toyobunko-lab.jp/iiif/3/47562/manifest
47563,支那通商報告［2号］,https://app.toyobunko-lab.jp/iiif/3/47563/manifest
47564,支那通商報告［3号］,https://app.toyobunko-lab.jp/iiif/3/47564/manifest
47565,支那通商報告［4号］,https://app.toyobunko-lab.jp/iiif/3/47565/manifest
47566,支那通商報告［5号］,https://app.toyobunko-lab.jp/iiif/3/47566/manifest
47567,支那通商報告［6号］,https://app.toyobunko-lab.jp/iiif/3/47567/manifest
47568,支那通商報告［7号］,https://app.toyobunko-lab.jp/iiif/3/47568/manifest
47569,支那通商報告［9号］,https://app.toyobunko-lab.jp/iiif/3/47569/manifest
47570,青岡県粮米交易市場及共同農業倉庫設立標準,https://app.toyobunko-lab.jp/iiif/3/47570/manifest
47571,東京農業大学図書館所蔵東亜関係資料並図書目録 ： 昭和十六年五月現在,https://app.toyobunko-lab.jp/iiif/3/47571/manifest
47572,蒙疆経済事情,https://app.toyobunko-lab.jp/iiif/3/47572/manifest
47573,家畜交易市場法及関係命令,https://app.toyobunko-lab.jp/iiif/3/47573/manifest
47574,暫行国有畜種貸与規則 ： 部令,https://app.toyobunko-lab.jp/iiif/3/47574/manifest
47575,綿羊改良増殖計画要綱案,https://app.toyobunko-lab.jp/iiif/3/47575/manifest
47576,家畜（除馬類）伝染病取扱ニ関スル件,https://app.toyobunko-lab.jp/iiif/3/47576/manifest
47577,大同二年及康徳元年家畜（除馬類）防疫実施概況,https://app.toyobunko-lab.jp/iiif/3/47577/manifest
47578,康徳二年家畜（除馬類）防疫実施概況,https://app.toyobunko-lab.jp/iiif/3/47578/manifest
47579,自大同二年至康徳二年三箇年間防疫実施概況表,https://app.toyobunko-lab.jp/iiif/3/47579/manifest
47580,康徳元年度及康徳二年度綿羊改良施設概要,https://app.toyobunko-lab.jp/iiif/3/47580/manifest
47581,康徳元年度及二年度養豚改良施設概要,https://app.toyobunko-lab.jp/iiif/3/47581/manifest
47582,満洲国畜産物輸出入統計表,https://app.toyobunko-lab.jp/iiif/3/47582/manifest
47583,養豚奨励規則 ： 康徳三年三月二十日公佈,https://app.toyobunko-lab.jp/iiif/3/47583/manifest
47584,本邦農事関係組合事例,https://app.toyobunko-lab.jp/iiif/3/47584/manifest
47585,満洲農産物収穫高予想調査 ： 県別統計,https://app.toyobunko-lab.jp/iiif/3/47585/manifest
47586,農村実態調査綜合調査項目 ： 康徳三年度実施,https://app.toyobunko-lab.jp/iiif/3/47586/manifest
47587,[農村実態調査本調査実施要綱],https://app.toyobunko-lab.jp/iiif/3/47587/manifest
47588,卸売物価調査要綱解説,https://app.toyobunko-lab.jp/iiif/3/47588/manifest
47589,輸入品調査 ： 海産物,https://app.toyobunko-lab.jp/iiif/3/47589/manifest
47590,営口ニ於ケル船粮業,https://app.toyobunko-lab.jp/iiif/3/47590/manifest
47591,商人,https://app.toyobunko-lab.jp/iiif/3/47591/manifest
47592,酒精工業関税調査報告 ： 康徳二年末,https://app.toyobunko-lab.jp/iiif/3/47592/manifest
47593,農事合作社関係資料,https://app.toyobunko-lab.jp/iiif/3/47593/manifest
47594,満洲国工場統計［康徳元年］,https://app.toyobunko-lab.jp/iiif/3/47594/manifest
47595,満洲国工場統計［康徳5年A］,https://app.toyobunko-lab.jp/iiif/3/47595/manifest
47596,満洲国工場統計［康徳6年A］,https://app.toyobunko-lab.jp/iiif/3/47596/manifest
47597,満洲国工場統計［康徳7年A］,https://app.toyobunko-lab.jp/iiif/3/47597/manifest
47598,農産物収穫高調査資料,https://app.toyobunko-lab.jp/iiif/3/47598/manifest
47599,中国ノ各省ニ於テ見ラレル各種金融形態,https://app.toyobunko-lab.jp/iiif/3/47599/manifest
47600,実態調査中ノ農家経済経営調査集計案,https://app.toyobunko-lab.jp/iiif/3/47600/manifest
47601,蒙政部管内各旗別家畜飼養戸数並頭数,https://app.toyobunko-lab.jp/iiif/3/47601/manifest
47602,農業保険及家畜保険資料,https://app.toyobunko-lab.jp/iiif/3/47602/manifest
47603,日満支及南方諸地域ニ於ケル小麦ノ生産及輸出入一覧表,https://app.toyobunko-lab.jp/iiif/3/47603/manifest
47604,日満支及南方諸地域ニ於ケル米ノ生産及輸出入一覧表,https://app.toyobunko-lab.jp/iiif/3/47604/manifest
47605,国家総動員研究資料,https://app.toyobunko-lab.jp/iiif/3/47605/manifest
47606,北支経済ノ現状ト列国権益ノ概要,https://app.toyobunko-lab.jp/iiif/3/47606/manifest
47607,満洲炭ノ概要,https://app.toyobunko-lab.jp/iiif/3/47607/manifest
47608,北満砂金地写真集,https://app.toyobunko-lab.jp/iiif/3/47608/manifest
47609,支那傭聘外国人人名録,https://app.toyobunko-lab.jp/iiif/3/47609/manifest
47610,康徳三年度農村実態調査報告書 ： 戸別調査之部［第1分冊］,https://app.toyobunko-lab.jp/iiif/3/47610/manifest
47611,康徳三年度農村実態調査報告書 ： 戸別調査之部［第2分冊］,https://app.toyobunko-lab.jp/iiif/3/47611/manifest
47612,康徳三年度農村実態調査報告書 ： 戸別調査之部［第3分冊］,https://app.toyobunko-lab.jp/iiif/3/47612/manifest
47613,康徳三年度農村実態調査報告書 ： 戸別調査之部［第4分冊］,https://app.toyobunko-lab.jp/iiif/3/47613/manifest
47614,康徳三年度農村実態調査報告書 ： 戸別調査之部［正誤表］,https://app.toyobunko-lab.jp/iiif/3/47614/manifest
47615,日支通商条約改訂準備調書［第1輯］,https://app.toyobunko-lab.jp/iiif/3/47615/manifest
47616,日支通商条約改訂準備調書［第2輯］,https://app.toyobunko-lab.jp/iiif/3/47616/manifest
47617,日支通商条約改訂準備調書［第3輯］,https://app.toyobunko-lab.jp/iiif/3/47617/manifest
47618,日支通商条約改訂準備調書［第4輯］,https://app.toyobunko-lab.jp/iiif/3/47618/manifest
47619,日支通商条約改訂準備調書［第5輯］,https://app.toyobunko-lab.jp/iiif/3/47619/manifest
47620,日支通商条約改訂準備調書［第15輯］,https://app.toyobunko-lab.jp/iiif/3/47620/manifest
47621,奉天省民事習慣調査ニ就テ,https://app.toyobunko-lab.jp/iiif/3/47621/manifest
47622,対支借款一覧表 ： 昭和四年十二月三十一日現在,https://app.toyobunko-lab.jp/iiif/3/47622/manifest
47623,恵民土木事業概要,https://app.toyobunko-lab.jp/iiif/3/47623/manifest
47624,昭和十五年度ニ於ケル蒙疆主要農作物作況並ニ生産消費数量調査,https://app.toyobunko-lab.jp/iiif/3/47624/manifest
47625,不穏文書臨時取締法説明書,https://app.toyobunko-lab.jp/iiif/3/47625/manifest
47626,江北地区開発ニ伴フ潅漑用水計画概要,https://app.toyobunko-lab.jp/iiif/3/47626/manifest
47627,江北地区水利調査報告,https://app.toyobunko-lab.jp/iiif/3/47627/manifest
47628,包頭概況,https://app.toyobunko-lab.jp/iiif/3/47628/manifest
47629,棉花関係統計資料,https://app.toyobunko-lab.jp/iiif/3/47629/manifest
47630,登集団管下ニ於ケル塩ノ配給機構ノ運営及配給実施ノ状況並ニ改善意見,https://app.toyobunko-lab.jp/iiif/3/47630/manifest
47631,中支ニ於ケル物資移動許可制度ニ就テ ： 昭和十六年一月二十八日,https://app.toyobunko-lab.jp/iiif/3/47631/manifest
47632,中支那軍票交換用物資配給組合（略称「軍配組合」）ニ就テ,https://app.toyobunko-lab.jp/iiif/3/47632/manifest
47633,組合員名簿,https://app.toyobunko-lab.jp/iiif/3/47633/manifest
47634,一九三五年銀市場概況,https://app.toyobunko-lab.jp/iiif/3/47634/manifest
47635,第三期第二次参政会特輯 ： 昭和十八年九月十八日開会同九月二十七日閉会,https://app.toyobunko-lab.jp/iiif/3/47635/manifest
47636,第二次糖業記事,https://app.toyobunko-lab.jp/iiif/3/47636/manifest
47637,海外各地在留本邦人職業別表 ： 大正五-七年六月末現在,https://app.toyobunko-lab.jp/iiif/3/47637/manifest
47638,支那農産物ノ生産需給ニ関スル資料,https://app.toyobunko-lab.jp/iiif/3/47638/manifest
47639,一九三三年倫敦国際経済会議,https://app.toyobunko-lab.jp/iiif/3/47639/manifest
47640,支那に於ける政治的勢力の現状,https://app.toyobunko-lab.jp/iiif/3/47640/manifest
